ProvDist,MuniCity,old,new
LAGUNA,SANTA ROSA CITY,POOK,POOC
BULACAN,MALOLOS CITY,LIYANG,LIANG
PAMPANGA,MAGALANG,SAN FRANCISO,SAN FRANCISCO
LANAO DEL NORTE,ILIGAN CITY,SARAY TIBANGA,SARAY
NUEVA VIZCAYA,KASIBU,PACQUET,PAQUET
CAMARINES SUR,NAGA CITY,CONCEPCION PEQUENO,CONCEPCION PEQUENA
NUEVA ECIJA,SAN JOSE CITY,RAFAEL RUEDA,RAFAEL RUEDA SR
PAMPANGA,ANGELES CITY,MALABANIAS,MALABANAS
PANGASINAN,BAYAMBANG,SANGCAGULIS,SANCAGULIS
ROMBLON,SAN AGUSTIN,CAGBUAYA,CAGBO AYA
ZAMBALES,OLONGAPO CITY,BARRETO,BARRETTO
METRO MANILA,VALENZUELA,HEN T DE LEON,GEN T DE LEON
LANAO DEL NORTE,ILIGAN CITY,MAHAYHAY,MAHAYAHAY