ProvDist,old,new,city_tag,2_muni_tag,typo_tag,remove_enye
,CITY OF ALAMINOS,ALAMINOS CITY,1,0,0,0
,CITY OF ANGELES,ANGELES CITY,1,0,0,0
,CITY OF ANTIPOLO,ANTIPOLO CITY,1,0,0,0
,CITY OF BACOLOD,BACOLOD CITY,1,0,0,0
CAVITE,CITY OF BACOOR,BACOOR,1,0,0,0
,CITY OF BAGO,BAGO CITY,1,0,0,0
BENGUET,CITY OF BAGUIO,BAGUIO CITY,1,0,0,0
,CITY OF BAIS,BAIS CITY,1,0,0,0
,CITY OF BALANGA,BALANGA CITY,1,0,0,0
,BALIUAG,BALIWAG CITY,,,,
,BALIUAG CITY,BALIWAG CITY,,,,
,CITY OF BALIUAG,BALIWAG CITY,,,,
,CITY OF BALIWAG,BALIWAG CITY,1,0,0,0
,CITY OF BATAC,BATAC CITY,1,0,0,0
BATANGAS,BATANGAS CITY,BATANGAS CITY,1,0,0,0
,CITY OF BAYAWAN,BAYAWAN CITY,1,0,0,0
,CITY OF BAYBAY,BAYBAY CITY,1,0,0,0
,CITY OF BAYUGAN,BAYUGAN CITY,1,0,0,0
,CITY OF BINAN,BINAN CITY,1,0,0,1
,CITY OF BISLIG,BISLIG CITY,1,0,0,0
,CITY OF BOGO,BOGO CITY,1,0,0,0
,CITY OF BORONGAN,BORONGAN CITY,1,0,0,0
,CITY OF BUTUAN,BUTUAN CITY,1,0,0,0
,CITY OF CABADBARAN,CABADBARAN CITY,1,0,0,0
,CITY OF CABANATUAN,CABANATUAN CITY,1,0,0,0
,CABUYAO CITY,CABUYAO,,,,
,CITY OF CABUYAO,CABUYAO,1,0,0,0
,CITY OF CADIZ,CADIZ CITY,1,0,0,0
,CITY OF CAGAYAN DE ORO,CAGAYAN DE ORO CITY,1,0,0,0
,CALACA CITY,CALACA,,,,
,CITY OF CALACA,CALACA,1,0,0,0
,CITY OF CALAMBA,CALAMBA CITY,1,0,0,0
,CITY OF CALAPAN,CALAPAN CITY,1,0,0,0
,CITY OF CALBAYOG,CALBAYOG CITY,1,0,0,0
,CALOOCAN CITY,CALOOCAN,,,,
,CITY OF CALOOCAN,CALOOCAN,1,0,0,0
,NORTH CALOOCAN,CALOOCAN,,,,
,CITY OF CANDON,CANDON CITY,1,0,0,0
,CITY OF CANLAON,CANLAON CITY,1,0,0,0
,CITY OF CARCAR,CARCAR CITY,1,0,0,0
,CITY OF CARMONA,CARMONA,1,0,0,0
,CITY OF CATBALOGAN,CATBALOGAN CITY,1,0,0,0
,CITY OF CAUAYAN,CAUAYAN CITY,1,0,0,0
,CITY OF CAVITE,CAVITE CITY,1,0,0,0
,CITY OF CEBU,CEBU CITY,1,0,0,0
,CITY OF COTABATO,COTABATO CITY,1,0,0,0
,CITY OF DAGUPAN,DAGUPAN CITY,1,0,0,0
,DANAO CITY,DANAO CITY,1,0,0,0
,CITY OF DAPITAN,DAPITAN CITY,1,0,0,0
,CITY OF DASMARINAS,DASMARINAS CITY,1,0,0,1
,CITY OF DAVAO,DAVAO CITY,1,0,0,0
,CITY OF DIGOS,DIGOS CITY,1,0,0,0
,CITY OF DIPOLOG,DIPOLOG CITY,1,0,0,0
,CITY OF DUMAGUETE,DUMAGUETE CITY,1,0,0,0
,CITY OF EL SALVADOR,EL SALVADOR CITY,1,0,0,0
,CITY OF ESCALANTE,ESCALANTE CITY,1,0,0,0
,CITY OF GAPAN,GAPAN CITY,1,0,0,0
,CITY OF GENERAL SANTOS,GENERAL SANTOS CITY,1,0,0,0
,CITY OF GENERAL TRIAS,GENERAL TRIAS,1,0,0,0
,CITY OF GINGOOG,GINGOOG CITY,1,0,0,0
,CITY OF GUIHULNGAN,GUIHULNGAN CITY,1,0,0,0
,CITY OF HIMAMAYLAN,HIMAMAYLAN CITY,1,0,0,0
,CITY OF ILAGAN,ILAGAN,1,0,0,0
,ILAGAN CITY,ILAGAN,,,,
,CITY OF ILIGAN,ILIGAN CITY,1,0,0,0
,CITY OF ILOILO,ILOILO CITY,1,0,0,0
,CITY OF IMUS,IMUS,1,0,0,0
,CITY OF IRIGA,IRIGA CITY,1,0,0,0
BASILAN,BASILAN ISABELA CITY,ISABELA CITY,,,,
,CITY OF ISABELA,ISABELA CITY,1,0,0,0
,ISLAND GARDEN CITY OF SAMAL,ISLAND GARDEN CITY OF SAMAL,1,0,0,0
,CITY OF KABANKALAN,KABANKALAN CITY,1,0,0,0
,CITY OF KIDAPAWAN,KIDAPAWAN CITY,1,0,0,0
,CITY OF KORONADAL,KORONADAL CITY,1,0,0,0
,CITY OF LA CARLOTA,LA CARLOTA CITY,1,0,0,0
ABRA,LAGANGILAN,LAGANGILANG,,,,
,CITY OF LAMITAN,LAMITAN CITY,1,0,0,0
,CITY OF LAOAG,LAOAG CITY,1,0,0,0
,CITY OF LAPU LAPU,LAPU LAPU CITY,1,0,0,0
,CITY OF LAS PINAS,LAS PINAS,1,0,0,1
,LAS PINAS CITY,LAS PINAS,,,,
,CITY OF LEGAZPI,LEGAZPI CITY,1,0,0,0
,CITY OF LIGAO,LIGAO CITY,1,0,0,0
,CITY OF LIPA,LIPA CITY,1,0,0,0
,CITY OF LUCENA,LUCENA CITY,1,0,0,0
,CITY OF MAASIN,MAASIN CITY,1,0,0,0
,MABALACAT CITY,MABALACAT,1,0,0,0
,CITY OF MAKATI,MAKATI,1,0,0,0
,MAKATI CITY,MAKATI,,,,
,CITY OF MALABON,MALABON,1,0,0,0
,MALABON CITY,MALABON,,,,
,CITY OF MALAYBALAY,MALAYBALAY CITY,1,0,0,0
,CITY OF MALOLOS,MALOLOS CITY,1,0,0,0
,CITY OF MANDALUYONG,MANDALUYONG,1,0,0,0
,MANDALUYONG CITY,MANDALUYONG,,,,
,CITY OF MANDAUE,MANDAUE CITY,1,0,0,0
,CITY OF MANILA,MANILA CITY,1,0,0,0
,CITY OF MARAWI,MARAWI CITY,1,0,0,0
,CITY OF MARIKINA,MARIKINA,1,0,0,0
,MARIKINA CITY,MARIKINA,,,,
,CITY OF MASBATE,MASBATE CITY,1,0,0,0
,CITY OF MATI,MATI CITY,1,0,0,0
,CITY OF MEYCAUAYAN,MEYCAUAYAN CITY,1,0,0,0
,CITY OF MUNTINLUPA,MUNTINLUPA,1,0,0,0
,MUNTINLUPA CITY,MUNTINLUPA,,,,
CAMARINES SUR,CAMARINES SUR NAGA CITY,NAGA CITY,,,,
CEBU,CEBU NAGA CITY,NAGA CITY,,,,
,CITY OF NAGA,NAGA CITY,1,0,0,0
,CITY OF NAVOTAS,NAVOTAS,1,0,0,0
,NAVOTAS CITY,NAVOTAS,,,,
,CITY OF OLONGAPO,OLONGAPO CITY,1,0,0,0
,ORMOC CITY,ORMOC CITY,1,0,0,0
,CITY OF OROQUIETA,OROQUIETA CITY,1,0,0,0
,CITY OF OZAMIZ,OZAMIS CITY,1,0,1,0
,CITY OF PAGADIAN,PAGADIAN CITY,1,0,0,0
,CITY OF PALAYAN,PALAYAN CITY,1,0,0,0
,CITY OF PANABO,PANABO CITY,1,0,0,0
MISAMIS OCCIDENTAL,PANA ON,PANAON,,,,
,CITY OF PARANAQUE,PARANAQUE,1,0,0,1
,PARANAQUE CITY,PARANAQUE,,,,
,CITY OF PASAY,PASAY,1,0,0,0
,PASAY CITY,PASAY,,,,
,CITY OF PASIG,PASIG,1,0,0,0
,PASIG CITY,PASIG,,,,
,CITY OF PASSI,PASSI CITY,1,0,0,0
MASBATE,PIO V. CORPUZ,PIO V. CORPUS,,,,
,CITY OF PUERTO PRINCESA,PUERTO PRINCESA CITY,1,0,0,0
,QUEZON CITY,QUEZON CITY,1,0,0,0
,CITY OF ROXAS,ROXAS CITY,1,0,0,0
,CITY OF SAGAY,SAGAY CITY,1,0,0,0
,CITY OF SAN CARLOS,SAN CARLOS CITY,1,0,0,0
,CITY OF SAN CARLOS,SAN CARLOS CITY,1,0,0,0
PANGASINAN,PANGASINAN SAN CARLOS CITY,SAN CARLOS CITY,,,,
,CITY OF SAN FERNANDO,SAN FERNANDO CITY,1,1,0,0
LA UNION,LA UNION SAN FERNANDO CITY,SAN FERNANDO CITY,,,,
PAMPANGA,PAMPANGA SAN FERNANDO CITY,SAN FERNANDO CITY,,,,
,SAN JOSE CITY,SAN JOSE CITY,1,0,0,0
,CITY OF SAN JOSE DEL MONTE,SAN JOSE DEL MONTE CITY,1,0,0,0
,CITY OF SAN JUAN,SAN JUAN,1,0,0,0
,SAN JUAN CITY,SAN JUAN,,,,
,CITY OF SAN PABLO,SAN PABLO CITY,1,0,0,0
,CITY OF SAN PEDRO,SAN PEDRO,1,0,0,0
,CITY OF SANTA ROSA,SANTA ROSA CITY,1,0,0,0
,CITY OF SANTIAGO,SANTIAGO CITY,1,0,0,0
,CITY OF SANTO TOMAS,SANTO TOMAS,1,1,0,0
,SANTO TOMAS CITY,SANTO TOMAS,,,,
,SCIENCE CITY OF MUNOZ,SCIENCE CITY OF MUNOZ,1,0,0,1
,CITY OF SILAY,SILAY CITY,1,0,0,0
,CITY OF SIPALAY,SIPALAY CITY,1,0,0,0
,CITY OF SORSOGON,SORSOGON CITY,1,0,0,0
,CITY OF SURIGAO,SURIGAO CITY,1,0,0,0
,CITY OF TABACO,TABACO CITY,1,0,0,0
,CITY OF TABUK,TABUK CITY,1,0,0,0
,CITY OF TACLOBAN,TACLOBAN CITY,1,0,0,0
,CITY OF TACURONG,TACURONG CITY,1,0,0,0
,CITY OF TAGAYTAY,TAGAYTAY CITY,1,0,0,0
,CITY OF TAGBILARAN,TAGBILARAN CITY,1,0,0,0
,CITY OF TAGUIG,TAGUIG,1,0,0,0
,TAGUIG CITY,TAGUIG,,,,
,CITY OF TAGUM,TAGUM CITY,1,0,0,0
CEBU,CEBU TALISAY CITY,TALISAY CITY,,,,
,CITY OF TALISAY,TALISAY CITY,1,1,0,0
NEGROS OCCIDENTAL,NEGROS OCCIDENTAL TALISAY CITY,TALISAY CITY,,,,
,CITY OF TANAUAN,TANAUAN CITY,1,0,0,0
,CITY OF TANDAG,TANDAG CITY,1,0,0,0
,CITY OF TANGUB,TANGUB CITY,1,0,0,0
,CITY OF TANJAY,TANJAY CITY,1,0,0,0
,CITY OF TARLAC,TARLAC CITY,1,0,0,0
,CITY OF TAYABAS,TAYABAS CITY,1,0,0,0
,CITY OF TOLEDO,TOLEDO CITY,1,0,0,0
,CITY OF TRECE MARTIRES,TRECE MARTIRES CITY,1,0,0,0
,TUGUEGARAO CITY,TUGUEGARAO CITY,1,0,0,0
,CITY OF URDANETA,URDANETA CITY,1,0,0,0
,CITY OF VALENCIA,VALENCIA CITY,1,0,0,0
,CITY OF VALENZUELA,VALENZUELA,1,0,0,0
,VALENZUELA CITY,VALENZUELA,,,,
,CITY OF VICTORIAS,VICTORIAS CITY,1,0,0,0
,CITY OF VIGAN,VIGAN CITY,1,0,0,0
,CITY OF ZAMBOANGA,ZAMBOANGA CITY,1,0,0,0
,RODRIGUEZ MONTALBAN,RODRIGUEZ,,,,
,QUEZON CITY 1116 QUEZ,QUEZON CITY,,,,