old_municity,new_municity,provdist
CITY OF ANGELES,ANGELES CITY,PAMPANGA
CITY OF OLONGAPO,OLONGAPO CITY,ZAMBALES
CITY OF LUCENA,LUCENA CITY,QUEZON
CITY OF BACOLOD,BACOLOD CITY,NEGROS OCCIDENTAL
CITY OF ILOILO,ILOILO CITY,ILOILO
CITY OF CEBU,CEBU CITY,CEBU
CITY OF LAPU LAPU,LAPU LAPU CITY,CEBU
CITY OF MANDAUE,MANDAUE CITY,CEBU
CITY OF TACLOBAN,TACLOBAN CITY,LEYTE
CITY OF ZAMBOANGA,ZAMBOANGA CITY,ZAMBOANGA DEL SUR
CITY OF CAGAYAN DE ORO,CAGAYAN DE ORO CITY,MISAMIS ORIENTAL
CITY OF ILIGAN,ILIGAN CITY,LANAO DEL NORTE
CITY OF DAVAO,DAVAO CITY,DAVAO DEL SUR
CITY OF GENERAL SANTOS,GENERAL SANTOS CITY,SOUTH COTABATO
CITY OF CALOOCAN,CALOOCAN,METRO MANILA
CITY OF LAS PINAS,LAS PINAS,METRO MANILA
CITY OF MAKATI,MAKATI,METRO MANILA
CITY OF MALABON,MALABON,METRO MANILA
CITY OF MANDALUYONG,MANDALUYONG,METRO MANILA
CITY OF MANILA,MANILA,METRO MANILA
CITY OF MARIKINA,MARIKINA,METRO MANILA
CITY OF MUNTINLUPA,MUNTINLUPA,METRO MANILA
CITY OF NAVOTAS,NAVOTAS,METRO MANILA
CITY OF PARANAQUE,PARANAQUE,METRO MANILA
PASAY CITY,PASAY,METRO MANILA
CITY OF PASIG,PASIG,METRO MANILA
QUEZON CITY,QUEZON CITY,METRO MANILA
CITY OF SAN JUAN,SAN JUAN,METRO MANILA
CITY OF TAGUIG,TAGUIG,METRO MANILA
CITY OF VALENZUELA,VALENZUELA,METRO MANILA
PATEROS,PATEROS,METRO MANILA
CITY OF BAGUIO,BAGUIO CITY,BENGUET
CITY OF BUTUAN,BUTUAN CITY,AGUSAN DEL NORTE
CITY OF PUERTO PRINCESA,PUERTO PRINCESA CITY,PALAWAN
CARMEN CLUSTER,CARMEN CLUSTER,SPECIAL GEOGRAPHIC AREA
KABACAN CLUSTER,KABACAN CLUSTER,SPECIAL GEOGRAPHIC AREA
MIDSAYAP CLUSTER I,MIDSAYAP CLUSTER I,SPECIAL GEOGRAPHIC AREA
MIDSAYAP CLUSTER II,MIDSAYAP CLUSTER II,SPECIAL GEOGRAPHIC AREA
PIGCAWAYAN CLUSTER,PIGCAWAYAN CLUSTER,SPECIAL GEOGRAPHIC AREA
PIKIT CLUSTER I,PIKIT CLUSTER I,SPECIAL GEOGRAPHIC AREA
PIKIT CLUSTER II,PIKIT CLUSTER II,SPECIAL GEOGRAPHIC AREA
PIKIT CLUSTER III,PIKIT CLUSTER III,SPECIAL GEOGRAPHIC AREA
CITY OF COTABATO,COTABATO CITY,COTABATO